Léxico,Supra category,Super category,Basic category
abraçar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
abraço,BENEVOLÊNCIA,AFEIÇÃO,AMOR
adoração,BENEVOLÊNCIA,AFEIÇÃO,AMOR
adorada,BENEVOLÊNCIA,AFEIÇÃO,AMOR
adorado,BENEVOLÊNCIA,AFEIÇÃO,AMOR
adorar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
adorável,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afectividade,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afectivo,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afecto,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afectuosa,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afectuosamente,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afectuosidade,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afectuoso,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afeição,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afeiçoada,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afeiçoado,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afeiçoar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
afinidade,BENEVOLÊNCIA,AFEIÇÃO,AMOR
agradecer,BENEVOLÊNCIA,AFEIÇÃO,AMOR
agradecida,BENEVOLÊNCIA,AFEIÇÃO,AMOR
agradecido,BENEVOLÊNCIA,AFEIÇÃO,AMOR
agradecimento,BENEVOLÊNCIA,AFEIÇÃO,AMOR
alcovitar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
alcoviteira,BENEVOLÊNCIA,AFEIÇÃO,AMOR
alcoviteiro,BENEVOLÊNCIA,AFEIÇÃO,AMOR
alcovitice,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amada,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amado,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amante,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amiga,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amiga,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amigável,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amigavelmente,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amigo,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amistoso,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amizade,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amor,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amorosamente,BENEVOLÊNCIA,AFEIÇÃO,AMOR
amoroso,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apaixonada,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apaixonada,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apaixonadamente,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apaixonado,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apaixonante,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apaixonar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
apego,BENEVOLÊNCIA,AFEIÇÃO,AMOR
beijar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
beijinho,BENEVOLÊNCIA,AFEIÇÃO,AMOR
beijo,BENEVOLÊNCIA,AFEIÇÃO,AMOR
beijocar,BENEVOLÊNCIA,AFEIÇÃO,AMOR
beijoqueiro,BENEVOLÊNCIA,AFEIÇÃO,AMOR
camarada,BENEVOLÊNCIA,AFEIÇÃO,AMOR
camaradagem,BENEVOLÊNCIA,AFEIÇÃO,AMOR
carente,BENEVOLÊNCIA,AFEIÇÃO,AMOR
